Time,Subsystem_1_CTLs_Vars_Ef_CHP,Subsystem_1_CTLs_Vars_Tmech_pu_CHP,Subsystem_1_CTLs_Vars_w_CHP_pu,Subsystem_1_Machines_CHP_CHPexcmon,Tele
0,2.414407326,0.758800075,0.9999747655,2.351504846e-05,0.757968151365398
5e-05,2.414407329,0.7588000434,0.9999748255,2.259985632e-05,0.757968151365398
0.0001,2.414407332,0.758800009,0.9999748878,2.165319606e-05,0.757936210308278
0.00015,2.414407334,0.7587999717,0.9999749522,2.067641539e-05,0.757907040712608
0.0002,2.414407337,0.7587999317,0.9999750187,1.96709012e-05,0.757877868381238
0.00025,2.414407339,0.7587998889,0.9999750872,1.863807763e-05,0.757850080419063
0.0003,2.414407341,0.7587998435,0.9999751575,1.7579404e-05,0.757825064221897
0.00035,2.414407343,0.7587997955,0.9999752297,1.649637286e-05,0.757798658195396
0.0004,2.414407345,0.758799745,0.9999753035,1.539050787e-05,0.7577764112405
0.00045,2.414407347,0.7587996921,0.9999753789,1.426336181e-05,0.757754161858403
0.0005,2.414407349,0.7587996367,0.9999754558,1.311651446e-05,0.757733297150922
0.00055,2.414407351,0.7587995791,0.999975534,1.195157042e-05,0.75771520462157
0.0006,2.414407352,0.7587995192,0.9999756135,1.077015704e-05,0.757697109771658
0.00065,2.414407353,0.7587994573,0.9999756941,9.57392221e-06,0.757681787300195
0.0007,2.414407354,0.7587993932,0.9999757758,8.36453225e-06,0.757666462611573
0.00075,2.414407355,0.7587993273,0.9999758584,7.143669716e-06,0.75765391050634
0.0008,2.414407356,0.7587992594,0.9999759418,5.913031177e-06,0.757642743589162
0.00085,2.414407357,0.7587991898,0.9999760259,4.674325023e-06,0.757632962160199
0.0009,2.414407357,0.7587991185,0.9999761105,3.429269274e-06,0.757625953421425
0.00095,2.414407358,0.7587990457,0.9999761956,2.179589365e-06,0.757618943175691
0.001,2.414407358,0.7587989713,0.999976281,9.270159445e-07,0.757614705722006
0.00105,2.414407358,0.7587988956,0.9999763667,-3.26717335e-07,0.757610466966302
0.0011,2.414407358,0.7587988187,0.9999764524,-1.579876016e-06,0.757610388609402
