0 [1.00e+00, 1.00e+00]
200 [9.83e-01, 9.88e-01]
400 [9.80e-01, 9.88e-01]
600 [9.77e-01, 9.88e-01]
800 [9.73e-01, 9.88e-01]
1000 [9.62e-01, 9.79e-01]
1200 [9.62e-01, 9.77e-01]
1400 [9.50e-01, 9.57e-01]
1600 [9.50e-01, 9.56e-01]
1800 [9.50e-01, 9.50e-01]
2000 [9.44e-01, 9.30e-01]
2200 [9.44e-01, 9.28e-01]
2400 [9.42e-01, 9.07e-01]
2600 [9.43e-01, 8.49e-01]
2800 [9.42e-01, 8.23e-01]
3000 [9.46e-01, 8.01e-01]
3200 [9.45e-01, 7.65e-01]
3400 [9.44e-01, 7.32e-01]
3600 [9.20e-01, 6.84e-01]
3800 [9.11e-01, 6.66e-01]
4000 [9.15e-01, 6.69e-01]
4200 [9.17e-01, 6.63e-01]
4400 [9.20e-01, 6.55e-01]
4600 [9.21e-01, 6.44e-01]
4800 [9.22e-01, 6.43e-01]
5000 [9.23e-01, 6.47e-01]
5200 [9.22e-01, 6.46e-01]
5400 [9.17e-01, 6.04e-01]
5600 [9.20e-01, 5.68e-01]
5800 [9.21e-01, 5.54e-01]
6000 [9.21e-01, 5.36e-01]
6200 [9.21e-01, 5.26e-01]
6400 [9.21e-01, 5.00e-01]
6600 [9.21e-01, 4.68e-01]
6800 [9.22e-01, 4.56e-01]
7000 [9.20e-01, 4.23e-01]
7200 [9.20e-01, 4.26e-01]
7400 [9.20e-01, 4.31e-01]
7600 [9.21e-01, 4.32e-01]
7800 [9.21e-01, 4.40e-01]
8000 [9.22e-01, 4.45e-01]
8200 [9.22e-01, 4.46e-01]
8400 [9.22e-01, 4.41e-01]
8600 [9.23e-01, 4.23e-01]
8800 [9.24e-01, 3.85e-01]
9000 [9.24e-01, 3.57e-01]
9200 [9.25e-01, 3.33e-01]
9400 [9.25e-01, 3.16e-01]
9600 [9.26e-01, 3.05e-01]
9800 [9.26e-01, 2.95e-01]
10000 [9.26e-01, 2.86e-01]
10200 [9.27e-01, 2.78e-01]
10400 [9.27e-01, 2.71e-01]
10600 [9.27e-01, 2.65e-01]
10800 [9.27e-01, 2.58e-01]
11000 [9.27e-01, 2.54e-01]
11200 [9.28e-01, 2.50e-01]
11400 [9.28e-01, 2.42e-01]
11600 [9.28e-01, 2.41e-01]
11800 [9.28e-01, 2.37e-01]
12000 [9.28e-01, 2.34e-01]
12200 [9.29e-01, 2.35e-01]
12400 [9.29e-01, 2.37e-01]
12600 [9.29e-01, 2.40e-01]
12800 [9.29e-01, 2.42e-01]
13000 [9.29e-01, 2.44e-01]
13200 [9.29e-01, 2.49e-01]
13400 [9.30e-01, 2.55e-01]
13600 [9.30e-01, 2.64e-01]
13800 [9.30e-01, 2.70e-01]
14000 [9.30e-01, 2.79e-01]
14200 [9.30e-01, 2.85e-01]
14400 [9.30e-01, 2.93e-01]
14600 [9.30e-01, 3.00e-01]
14800 [9.31e-01, 3.10e-01]
15000 [9.31e-01, 3.16e-01]
15200 [9.31e-01, 3.29e-01]
15400 [9.31e-01, 3.34e-01]
15600 [9.31e-01, 3.45e-01]
15800 [9.31e-01, 3.52e-01]
16000 [9.32e-01, 3.66e-01]
16200 [9.32e-01, 3.78e-01]
16400 [9.32e-01, 3.88e-01]
16600 [9.32e-01, 3.95e-01]
16800 [9.32e-01, 4.10e-01]
17000 [9.32e-01, 4.17e-01]
17200 [9.32e-01, 4.36e-01]
17400 [9.32e-01, 4.56e-01]
17600 [9.32e-01, 4.73e-01]
17800 [9.33e-01, 4.89e-01]
18000 [9.33e-01, 5.06e-01]
18200 [9.33e-01, 5.27e-01]
18400 [9.33e-01, 5.44e-01]
18600 [9.33e-01, 5.63e-01]
18800 [9.33e-01, 5.84e-01]
19000 [9.33e-01, 5.93e-01]
19200 [9.33e-01, 6.20e-01]
19400 [9.33e-01, 6.43e-01]
19600 [9.33e-01, 6.67e-01]
19800 [9.34e-01, 6.89e-01]
20000 [9.34e-01, 7.13e-01]
20200 [9.34e-01, 7.37e-01]
20400 [9.34e-01, 7.63e-01]
20600 [9.34e-01, 7.87e-01]
20800 [9.34e-01, 7.44e-01]
21000 [9.34e-01, 7.44e-01]
21200 [9.34e-01, 7.65e-01]
21400 [9.34e-01, 7.90e-01]
21600 [9.34e-01, 8.17e-01]
21800 [9.34e-01, 8.46e-01]
22000 [9.34e-01, 8.74e-01]
22200 [9.34e-01, 9.01e-01]
22400 [9.35e-01, 9.27e-01]
22600 [9.35e-01, 9.58e-01]
22800 [9.35e-01, 9.86e-01]
23000 [9.35e-01, 1.01e+00]
23200 [9.35e-01, 1.04e+00]
23400 [9.35e-01, 1.06e+00]
23600 [9.35e-01, 1.10e+00]
23800 [9.35e-01, 1.11e+00]
24000 [9.35e-01, 1.14e+00]
24200 [9.35e-01, 1.17e+00]
24400 [9.35e-01, 1.20e+00]
24600 [9.35e-01, 1.22e+00]
24800 [9.35e-01, 1.25e+00]
25000 [9.35e-01, 1.28e+00]
25200 [9.35e-01, 1.29e+00]
25400 [9.35e-01, 1.33e+00]
25600 [9.35e-01, 1.35e+00]
25800 [9.36e-01, 1.38e+00]
26000 [9.36e-01, 1.38e+00]
26200 [9.36e-01, 1.41e+00]
26400 [9.36e-01, 1.44e+00]
26600 [9.36e-01, 1.47e+00]
26800 [9.36e-01, 1.49e+00]
27000 [9.36e-01, 1.52e+00]
27200 [9.36e-01, 1.55e+00]
27400 [9.36e-01, 1.57e+00]
27600 [9.36e-01, 1.59e+00]
27800 [9.36e-01, 1.62e+00]
28000 [9.36e-01, 1.65e+00]
28200 [9.36e-01, 1.67e+00]
28400 [9.34e-01, 1.59e+00]
28600 [9.34e-01, 1.58e+00]
28800 [9.34e-01, 1.58e+00]
29000 [9.34e-01, 1.58e+00]
29200 [9.34e-01, 1.59e+00]
29400 [9.34e-01, 1.59e+00]
29600 [9.34e-01, 1.59e+00]
29800 [9.34e-01, 1.60e+00]
30000 [9.34e-01, 1.60e+00]
30200 [9.34e-01, 1.60e+00]
30400 [9.34e-01, 1.61e+00]
30600 [9.34e-01, 1.61e+00]
30800 [9.34e-01, 1.62e+00]
31000 [9.34e-01, 1.62e+00]
31200 [9.34e-01, 1.63e+00]
31400 [9.34e-01, 1.64e+00]
31600 [9.34e-01, 1.65e+00]
31800 [9.34e-01, 1.65e+00]
32000 [9.34e-01, 1.66e+00]
32200 [9.34e-01, 1.67e+00]
32400 [9.34e-01, 1.68e+00]
32600 [9.34e-01, 1.69e+00]
32800 [9.34e-01, 1.70e+00]
33000 [9.34e-01, 1.71e+00]
33200 [9.34e-01, 1.72e+00]
33400 [9.34e-01, 1.74e+00]
33600 [9.35e-01, 1.75e+00]
33800 [9.35e-01, 1.76e+00]
34000 [9.35e-01, 1.78e+00]
34200 [9.35e-01, 1.79e+00]
34400 [9.35e-01, 1.81e+00]
34600 [9.35e-01, 1.82e+00]
34800 [9.35e-01, 1.84e+00]
35000 [9.35e-01, 1.86e+00]
35200 [9.35e-01, 1.87e+00]
35400 [9.35e-01, 1.89e+00]
35600 [9.35e-01, 1.91e+00]
35800 [9.35e-01, 1.93e+00]
36000 [9.35e-01, 1.95e+00]
36200 [9.35e-01, 1.97e+00]
36400 [9.35e-01, 1.97e+00]
36600 [9.35e-01, 1.99e+00]
36800 [9.35e-01, 2.01e+00]
37000 [9.35e-01, 2.03e+00]
37200 [9.35e-01, 2.05e+00]
37400 [9.35e-01, 2.07e+00]
37600 [9.35e-01, 2.09e+00]
37800 [9.35e-01, 2.11e+00]
38000 [9.35e-01, 2.12e+00]
38200 [9.35e-01, 2.14e+00]
38400 [9.35e-01, 2.16e+00]
38600 [9.35e-01, 2.18e+00]
38800 [9.35e-01, 2.20e+00]
39000 [9.35e-01, 2.22e+00]
39200 [9.35e-01, 2.24e+00]
39400 [9.35e-01, 2.26e+00]
39600 [9.35e-01, 2.28e+00]
39800 [9.35e-01, 2.30e+00]
40000 [9.35e-01, 2.32e+00]
40200 [9.35e-01, 2.33e+00]
40400 [9.35e-01, 2.36e+00]
40600 [9.35e-01, 2.38e+00]
40800 [9.35e-01, 2.40e+00]
41000 [9.35e-01, 2.42e+00]
41200 [9.35e-01, 2.43e+00]
41400 [9.35e-01, 2.45e+00]
41600 [9.35e-01, 2.47e+00]
41800 [9.35e-01, 2.49e+00]
42000 [9.35e-01, 2.51e+00]
42200 [9.35e-01, 2.53e+00]
42400 [9.35e-01, 2.55e+00]
42600 [9.34e-01, 2.57e+00]
42800 [9.34e-01, 2.59e+00]
43000 [9.35e-01, 2.61e+00]
43200 [9.34e-01, 2.63e+00]
43400 [9.34e-01, 2.63e+00]
43600 [9.34e-01, 2.65e+00]
43800 [9.34e-01, 2.67e+00]
44000 [9.34e-01, 2.69e+00]
44200 [9.34e-01, 2.71e+00]
44400 [9.34e-01, 2.73e+00]
44600 [9.34e-01, 2.75e+00]
44800 [9.34e-01, 2.77e+00]
45000 [9.34e-01, 2.79e+00]
45200 [9.34e-01, 2.81e+00]
45400 [9.34e-01, 2.83e+00]
45600 [9.34e-01, 2.85e+00]
45800 [9.34e-01, 2.86e+00]
46000 [9.34e-01, 2.88e+00]
46200 [9.34e-01, 2.90e+00]
46400 [9.34e-01, 2.92e+00]
46600 [9.34e-01, 2.94e+00]
46800 [9.34e-01, 2.96e+00]
47000 [9.34e-01, 2.98e+00]
47200 [9.34e-01, 3.00e+00]
47400 [9.34e-01, 3.02e+00]
47600 [9.34e-01, 3.04e+00]
47800 [9.34e-01, 3.06e+00]
48000 [9.34e-01, 3.08e+00]
48200 [9.34e-01, 3.09e+00]
48400 [9.34e-01, 3.11e+00]
48600 [9.34e-01, 3.13e+00]
48800 [9.34e-01, 3.15e+00]
49000 [9.34e-01, 3.17e+00]
49200 [9.34e-01, 3.19e+00]
49400 [9.34e-01, 3.21e+00]
49600 [9.34e-01, 3.23e+00]
49800 [9.33e-01, 3.25e+00]
50000 [9.33e-01, 3.18e+00]
50200 [9.33e-01, 3.19e+00]
50400 [9.34e-01, 3.20e+00]
50600 [9.33e-01, 3.22e+00]
50800 [9.33e-01, 3.23e+00]
51000 [9.33e-01, 3.25e+00]
51200 [9.33e-01, 3.27e+00]
51400 [9.33e-01, 3.29e+00]
51600 [9.33e-01, 3.31e+00]
51800 [9.33e-01, 3.34e+00]
52000 [9.33e-01, 3.36e+00]
52200 [9.33e-01, 3.38e+00]
52400 [9.33e-01, 3.40e+00]
52600 [9.33e-01, 3.42e+00]
52800 [9.33e-01, 3.44e+00]
53000 [9.33e-01, 3.46e+00]
53200 [9.33e-01, 3.49e+00]
53400 [9.33e-01, 3.51e+00]
53600 [9.33e-01, 3.53e+00]
53800 [9.33e-01, 3.55e+00]
54000 [9.33e-01, 3.57e+00]
54200 [9.33e-01, 3.59e+00]
54400 [9.33e-01, 3.61e+00]
54600 [9.33e-01, 3.63e+00]
54800 [9.32e-01, 3.65e+00]
55000 [9.32e-01, 3.67e+00]
55200 [9.32e-01, 3.69e+00]
55400 [9.32e-01, 3.72e+00]
55600 [9.32e-01, 3.74e+00]
55800 [9.32e-01, 3.76e+00]
56000 [9.32e-01, 3.78e+00]
56200 [9.32e-01, 3.80e+00]
56400 [9.32e-01, 3.82e+00]
56600 [9.32e-01, 3.84e+00]
56800 [9.32e-01, 3.85e+00]
57000 [9.32e-01, 3.88e+00]
57200 [9.32e-01, 3.89e+00]
57400 [9.32e-01, 3.91e+00]
57600 [9.32e-01, 3.93e+00]
57800 [9.32e-01, 3.94e+00]
58000 [9.32e-01, 3.97e+00]
58200 [9.32e-01, 3.99e+00]
58400 [9.32e-01, 4.01e+00]
58600 [9.31e-01, 4.03e+00]
58800 [9.31e-01, 4.05e+00]
59000 [9.31e-01, 4.07e+00]
59200 [9.31e-01, 4.09e+00]
59400 [9.31e-01, 4.11e+00]
59600 [9.31e-01, 4.13e+00]
59800 [9.31e-01, 4.15e+00]
60000 [9.31e-01, 4.17e+00]
60200 [9.31e-01, 4.19e+00]
60400 [9.31e-01, 4.21e+00]
60600 [9.31e-01, 4.23e+00]
60800 [9.31e-01, 4.24e+00]
61000 [9.31e-01, 4.26e+00]
61200 [9.31e-01, 4.28e+00]
61400 [9.31e-01, 4.30e+00]
61600 [9.31e-01, 4.32e+00]
61800 [9.30e-01, 4.34e+00]
62000 [9.30e-01, 4.36e+00]
62200 [9.30e-01, 4.38e+00]
62400 [9.30e-01, 4.40e+00]
62600 [9.30e-01, 4.41e+00]
62800 [9.30e-01, 4.43e+00]
63000 [9.30e-01, 4.45e+00]
63200 [9.30e-01, 4.47e+00]
63400 [9.29e-01, 4.35e+00]
63600 [9.28e-01, 4.34e+00]
63800 [9.28e-01, 4.33e+00]
64000 [9.28e-01, 4.33e+00]
64200 [9.29e-01, 4.33e+00]
64400 [9.29e-01, 4.33e+00]
64600 [9.29e-01, 4.33e+00]
64800 [9.29e-01, 4.33e+00]
65000 [9.29e-01, 4.33e+00]
65200 [9.29e-01, 4.33e+00]
65400 [9.29e-01, 4.33e+00]
65600 [9.30e-01, 4.33e+00]
65800 [9.29e-01, 4.33e+00]
66000 [9.29e-01, 4.33e+00]
66200 [9.29e-01, 4.33e+00]
66400 [9.29e-01, 4.33e+00]
66600 [9.29e-01, 4.33e+00]
66800 [9.29e-01, 4.33e+00]
67000 [9.29e-01, 4.34e+00]
67200 [9.29e-01, 4.34e+00]
67400 [9.30e-01, 4.34e+00]
67600 [9.30e-01, 4.34e+00]
67800 [9.30e-01, 4.34e+00]
68000 [9.30e-01, 4.35e+00]
68200 [9.30e-01, 4.35e+00]
68400 [9.30e-01, 4.36e+00]
68600 [9.30e-01, 4.36e+00]
68800 [9.30e-01, 4.37e+00]
69000 [9.30e-01, 4.37e+00]
69200 [9.29e-01, 4.38e+00]
69400 [9.29e-01, 4.38e+00]
69600 [9.29e-01, 4.39e+00]
69800 [9.29e-01, 4.40e+00]
70000 [9.29e-01, 4.40e+00]
70200 [9.29e-01, 4.41e+00]
70400 [9.29e-01, 4.42e+00]
70600 [9.29e-01, 4.43e+00]
70800 [9.29e-01, 4.44e+00]
71000 [9.29e-01, 4.44e+00]
71200 [9.29e-01, 4.45e+00]
71400 [9.29e-01, 4.46e+00]
71600 [9.29e-01, 4.47e+00]
71800 [9.29e-01, 4.48e+00]
72000 [9.29e-01, 4.49e+00]
72200 [9.29e-01, 4.50e+00]
72400 [9.29e-01, 4.51e+00]
72600 [9.29e-01, 4.52e+00]
72800 [9.29e-01, 4.53e+00]
73000 [9.29e-01, 4.54e+00]
73200 [9.29e-01, 4.55e+00]
73400 [9.29e-01, 4.56e+00]
73600 [9.28e-01, 4.57e+00]
73800 [9.28e-01, 4.58e+00]
74000 [9.28e-01, 4.59e+00]
74200 [9.28e-01, 4.61e+00]
74400 [9.28e-01, 4.62e+00]
74600 [9.28e-01, 4.63e+00]
74800 [9.28e-01, 4.64e+00]
75000 [9.28e-01, 4.65e+00]
75200 [9.28e-01, 4.67e+00]
75400 [9.28e-01, 4.68e+00]
75600 [9.28e-01, 4.69e+00]
75800 [9.28e-01, 4.71e+00]
76000 [9.28e-01, 4.72e+00]
76200 [9.28e-01, 4.73e+00]
76400 [9.28e-01, 4.74e+00]
76600 [9.28e-01, 4.75e+00]
76800 [9.28e-01, 4.77e+00]
77000 [9.28e-01, 4.78e+00]
77200 [9.27e-01, 4.80e+00]
77400 [9.27e-01, 4.81e+00]
77600 [9.27e-01, 4.82e+00]
77800 [9.27e-01, 4.84e+00]
78000 [9.27e-01, 4.85e+00]
78200 [9.27e-01, 4.86e+00]
78400 [9.29e-01, 4.75e+00]
78600 [9.27e-01, 4.75e+00]
78800 [9.27e-01, 4.74e+00]
79000 [9.27e-01, 4.74e+00]
79200 [9.27e-01, 4.74e+00]
79400 [9.27e-01, 4.75e+00]
79600 [9.27e-01, 4.75e+00]
79800 [9.27e-01, 4.75e+00]
80000 [9.26e-01, 4.75e+00]
80200 [9.26e-01, 4.75e+00]
80400 [9.26e-01, 4.76e+00]
80600 [9.26e-01, 4.76e+00]
80800 [9.26e-01, 4.77e+00]
81000 [9.26e-01, 4.77e+00]
81200 [9.26e-01, 4.78e+00]
81400 [9.26e-01, 4.79e+00]
81600 [9.26e-01, 4.79e+00]
81800 [9.25e-01, 4.80e+00]
82000 [9.25e-01, 4.81e+00]
82200 [9.25e-01, 4.82e+00]
82400 [9.25e-01, 4.83e+00]
82600 [9.25e-01, 4.83e+00]
82800 [9.25e-01, 4.84e+00]
83000 [9.25e-01, 4.85e+00]
83200 [9.25e-01, 4.85e+00]
83400 [9.25e-01, 4.86e+00]
83600 [9.25e-01, 4.87e+00]
83800 [9.25e-01, 4.88e+00]
84000 [9.25e-01, 4.88e+00]
