0 [1.00e+00, 1.00e+00]
200 [9.77e-01, 9.75e-01]
400 [9.76e-01, 9.74e-01]
600 [9.78e-01, 9.75e-01]
800 [9.83e-01, 9.78e-01]
1000 [9.88e-01, 9.83e-01]
1200 [9.97e-01, 9.84e-01]
1400 [1.03e+00, 1.02e+00]
1600 [1.05e+00, 1.04e+00]
1800 [1.05e+00, 1.12e+00]
2000 [1.05e+00, 1.23e+00]
2200 [1.05e+00, 1.33e+00]
2400 [1.05e+00, 1.44e+00]
2600 [1.05e+00, 1.54e+00]
2800 [1.04e+00, 1.64e+00]
3000 [1.04e+00, 1.73e+00]
3200 [1.04e+00, 1.83e+00]
3400 [1.03e+00, 1.92e+00]
3600 [1.03e+00, 2.01e+00]
3800 [1.03e+00, 2.10e+00]
4000 [1.03e+00, 2.18e+00]
4200 [1.02e+00, 2.26e+00]
4400 [1.02e+00, 2.34e+00]
4600 [1.02e+00, 2.42e+00]
4800 [1.02e+00, 2.49e+00]
5000 [1.01e+00, 2.57e+00]
5200 [1.01e+00, 2.64e+00]
5400 [1.01e+00, 2.72e+00]
5600 [1.01e+00, 2.79e+00]
5800 [1.00e+00, 2.85e+00]
6000 [1.00e+00, 2.92e+00]
6200 [1.00e+00, 2.99e+00]
6400 [9.98e-01, 3.06e+00]
6600 [9.96e-01, 3.12e+00]
6800 [9.95e-01, 3.18e+00]
7000 [9.93e-01, 3.24e+00]
7200 [9.92e-01, 3.31e+00]
7400 [9.90e-01, 3.36e+00]
7600 [9.90e-01, 3.42e+00]
7800 [9.89e-01, 3.48e+00]
8000 [9.89e-01, 3.53e+00]
8200 [9.88e-01, 3.59e+00]
8400 [9.87e-01, 3.64e+00]
8600 [9.87e-01, 3.69e+00]
8800 [9.87e-01, 3.74e+00]
9000 [9.87e-01, 3.79e+00]
9200 [9.88e-01, 3.83e+00]
9400 [9.88e-01, 3.87e+00]
9600 [9.87e-01, 3.92e+00]
9800 [9.86e-01, 3.95e+00]
10000 [9.85e-01, 3.99e+00]
10200 [9.84e-01, 4.03e+00]
10400 [9.84e-01, 4.07e+00]
10600 [9.83e-01, 4.11e+00]
10800 [9.83e-01, 4.15e+00]
11000 [9.82e-01, 4.19e+00]
11200 [9.82e-01, 4.24e+00]
11400 [9.82e-01, 4.28e+00]
11600 [9.82e-01, 4.32e+00]
11800 [9.82e-01, 4.37e+00]
12000 [9.81e-01, 4.41e+00]
12200 [9.81e-01, 4.46e+00]
12400 [9.81e-01, 4.51e+00]
12600 [9.81e-01, 4.56e+00]
12800 [9.81e-01, 4.60e+00]
13000 [9.80e-01, 4.65e+00]
13200 [9.80e-01, 4.70e+00]
13400 [9.80e-01, 4.75e+00]
13600 [9.80e-01, 4.80e+00]
13800 [9.80e-01, 4.85e+00]
14000 [9.79e-01, 4.90e+00]
14200 [9.79e-01, 4.95e+00]
14400 [9.79e-01, 5.00e+00]
14600 [9.79e-01, 5.05e+00]
14800 [9.78e-01, 5.10e+00]
15000 [9.78e-01, 5.14e+00]
15200 [9.78e-01, 5.19e+00]
15400 [9.78e-01, 5.24e+00]
15600 [9.77e-01, 5.29e+00]
15800 [9.77e-01, 5.33e+00]
16000 [9.77e-01, 5.38e+00]
16200 [9.77e-01, 5.43e+00]
16400 [9.76e-01, 5.47e+00]
16600 [9.76e-01, 5.52e+00]
16800 [9.76e-01, 5.56e+00]
17000 [9.76e-01, 5.60e+00]
17200 [9.75e-01, 5.64e+00]
17400 [9.75e-01, 5.69e+00]
17600 [9.75e-01, 5.73e+00]
17800 [9.75e-01, 5.77e+00]
18000 [9.74e-01, 5.81e+00]
18200 [9.74e-01, 5.85e+00]
18400 [9.74e-01, 5.89e+00]
18600 [9.74e-01, 5.93e+00]
18800 [9.73e-01, 5.96e+00]
19000 [9.73e-01, 6.00e+00]
19200 [9.73e-01, 6.04e+00]
19400 [9.73e-01, 6.08e+00]
19600 [9.72e-01, 6.11e+00]
19800 [9.72e-01, 6.15e+00]
20000 [9.72e-01, 6.19e+00]
20200 [9.72e-01, 6.22e+00]
20400 [9.71e-01, 6.26e+00]
20600 [9.71e-01, 6.29e+00]
20800 [9.71e-01, 6.33e+00]
21000 [9.71e-01, 6.36e+00]
21200 [9.70e-01, 6.40e+00]
21400 [9.70e-01, 6.44e+00]
21600 [9.70e-01, 6.47e+00]
21800 [9.70e-01, 6.50e+00]
22000 [9.69e-01, 6.54e+00]
22200 [9.69e-01, 6.57e+00]
22400 [9.69e-01, 6.61e+00]
22600 [9.69e-01, 6.64e+00]
22800 [9.68e-01, 6.67e+00]
23000 [9.68e-01, 6.70e+00]
23200 [9.68e-01, 6.74e+00]
23400 [9.68e-01, 6.77e+00]
23600 [9.67e-01, 6.80e+00]
23800 [9.67e-01, 6.83e+00]
24000 [9.67e-01, 6.86e+00]
24200 [9.67e-01, 6.90e+00]
24400 [9.66e-01, 6.93e+00]
24600 [9.66e-01, 6.96e+00]
24800 [9.66e-01, 6.99e+00]
25000 [9.65e-01, 7.02e+00]
25200 [9.65e-01, 7.05e+00]
25400 [9.65e-01, 7.08e+00]
25600 [9.65e-01, 7.11e+00]
25800 [9.64e-01, 7.14e+00]
26000 [9.64e-01, 7.17e+00]
26200 [9.64e-01, 7.19e+00]
26400 [9.64e-01, 7.22e+00]
26600 [9.63e-01, 7.25e+00]
26800 [9.63e-01, 7.28e+00]
27000 [9.63e-01, 7.31e+00]
27200 [9.63e-01, 7.34e+00]
27400 [9.62e-01, 7.37e+00]
27600 [9.62e-01, 7.39e+00]
27800 [9.62e-01, 7.42e+00]
28000 [9.62e-01, 7.45e+00]
28200 [9.61e-01, 7.48e+00]
28400 [9.61e-01, 7.50e+00]
28600 [9.61e-01, 7.53e+00]
28800 [9.61e-01, 7.56e+00]
29000 [9.60e-01, 7.58e+00]
29200 [9.60e-01, 7.61e+00]
29400 [9.60e-01, 7.63e+00]
29600 [9.60e-01, 7.66e+00]
29800 [9.60e-01, 7.68e+00]
30000 [9.59e-01, 7.71e+00]
30200 [9.59e-01, 7.74e+00]
30400 [9.59e-01, 7.76e+00]
30600 [9.59e-01, 7.79e+00]
30800 [9.58e-01, 7.82e+00]
31000 [9.58e-01, 7.84e+00]
31200 [9.58e-01, 7.86e+00]
31400 [9.58e-01, 7.89e+00]
31600 [9.57e-01, 7.91e+00]
31800 [9.57e-01, 7.93e+00]
32000 [9.57e-01, 7.95e+00]
32200 [9.57e-01, 7.97e+00]
32400 [9.57e-01, 8.00e+00]
32600 [9.56e-01, 8.02e+00]
