"Time",Subsystem #1|CTLs|Vars|IsqA8,"Subsystem #1|CTLs|Vars|Isqerr8","Subsystem #1|CTLs|Vars|Isqrefongrid8","Subsystem #1|CTLs|Vars|Qerr8",Subsystem #1|CTLs|Vars|uqA8
0.0,-0.02125755179,-1.787043131E-4,-0.0214362561,4.491124135E-5,0.0146517833
5.0E-5,-0.02126753319,-1.684799364E-4,-0.02143601312,3.479353459E-5,0.01465203457
1.0E-4,-0.0212776783,-1.580884394E-4,-0.02143576674,2.464113506E-5,0.01465229027
1.5E-4,-0.02128797652,-1.475406987E-4,-0.02143551722,1.446465636E-5,0.01465255015
2.0E-4,-0.02129841768,-1.368470996E-4,-0.02143526478,4.273430269E-6,0.01465281393
2.5E-4,-0.02130899142,-1.260182539E-4,-0.02143500968,-5.922364247E-6,0.01465308137
3.0E-4,-0.02131968738,-1.150648078E-4,-0.02143475218,-1.611201356E-5,0.01465335219
3.5E-4,-0.02133049498,-1.039975513E-4,-0.02143449253,-2.628619994E-5,0.01465362613
4.0E-4,-0.02134140351,-9.282746833E-5,-0.02143423097,-3.643477684E-5,0.01465390292
4.5E-4,-0.02135240225,-8.156553945E-5,-0.02143396779,-4.654708638E-5,0.01465418229
5.0E-4,-0.02136348037,-7.022285676E-5,-0.02143370323,-5.661389328E-5,0.01465446396
5.5E-4,-0.02137462686,-5.881067792E-5,-0.02143343754,-6.662516038E-5,0.01465474765
6.0E-4,-0.02138583079,-4.734022461E-5,-0.02143317101,-7.657036677E-5,0.01465503309
6.5E-4,-0.02139708109,-3.582279717E-5,-0.02143290388,-8.644044256E-5,0.01465531998
7.0E-4,-0.0214083666,-2.426982821E-5,-0.02143263642,-9.622554422E-5,0.01465560806
7.5E-4,-0.02141967623,-1.269268093E-5,-0.02143236891,-1.059153729E-4,0.01465589702
8.0E-4,-0.02143099883,-1.102763468E-6,-0.02143210159,-1.155011097E-4,0.0146561866
8.5E-4,-0.02144232315,1.04884174E-5,-0.02143183473,-1.249731901E-4,0.0146564765
9.0E-4,-0.02145363806,2.206945831E-5,-0.02143156861,-1.343216224E-4,0.01465676643
9.5E-4,-0.02146493241,3.362894478E-5,-0.02143130347,-1.435379233E-4,0.01465705611
0.001,-0.02147619497,4.515539772E-5,-0.02143103957,-1.526128912E-4,0.01465734526
0.00105,-0.02148741468,5.663747526E-5,-0.0214307772,-1.615369243E-4,0.01465763358
0.0011,-0.02149858046,6.806385845E-5,-0.0214305166,-1.703019568E-4,0.0146579208
0.00115,-0.02150968121,7.942319732E-5,-0.02143025802,-1.788992307E-4,0.01465820663
0.0012,-0.02152070604,9.070431298E-5,-0.02143000173,-1.873196138E-4,0.01465849078
0.00125,-0.02153164405,1.018960829E-4,-0.02142974797,-1.955555363E-4,0.01465877298
0.0013,-0.02154248438,1.129873868E-4,-0.021429497,-2.035987607E-4,0.01465905295
0.00135,-0.02155321638,1.239673087E-4,-0.02142924907,-2.114407001E-4,0.01465933041
0.0014,-0.02156382943,1.348250218E-4,-0.02142900441,-2.190743543E-4,0.01465960509
0.00145,-0.02157431301,1.455497341E-4,-0.02142876327,-2.26492079E-4,0.01465987671
0.0015,-0.0215846568,1.561308902E-4,-0.02142852591,-2.33685903E-4,0.01466014501
0.00155,-0.02159485058,1.665580559E-4,-0.02142829252,-2.406494653E-4,0.01466040973
0.0016,-0.02160488423,1.76820863E-4,-0.02142806336,-2.473757816E-4,0.01466067059
0.00165,-0.02161474788,1.869092113E-4,-0.02142783866,-2.53857562E-4,0.01466092734
0.0017,-0.02162443178,1.968131522E-4,-0.02142761863,-2.600891476E-4,0.01466117974
0.00175,-0.02163392632,2.065228337E-4,-0.02142740348,-2.660642759E-4,0.01466142752
0.0018,-0.02164322215,2.160287011E-4,-0.02142719345,-2.717763973E-4,0.01466167045
0.00185,-0.0216523101,2.253213806E-4,-0.02142698872,-2.772206126E-4,0.01466190828
0.0019,-0.02166118112,2.343916235E-4,-0.0214267895,-2.823914357E-4,0.01466214079
0.00195,-0.0216698265,2.432305064E-4,-0.021426596,-2.872831102E-4,0.01466236773
0.002,-0.0216782377,2.518293144E-4,-0.02142640839,-2.91891547E-4,0.01466258889
0.00205,-0.02168640635,2.601794838E-4,-0.02142622686,-2.962120846E-4,0.01466280404
0.0021,-0.02169432442,2.682728029E-4,-0.02142605161,-3.002398056E-4,0.01466301298
0.00215,-0.02170198409,2.761012933E-4,-0.0214258828,-3.03971474E-4,0.0146632155
0.0022,-0.02170937773,2.836571528E-4,-0.02142572058,-3.074032939E-4,0.01466341139
0.00225,-0.02171649809,2.909329546E-4,-0.02142556514,-3.105312249E-4,0.01466360047
0.0023,-0.02172333814,2.979215287E-4,-0.02142541661,-3.133529202E-4,0.01466378254
0.00235,-0.02172989105,3.046159032E-4,-0.02142527514,-3.158654823E-4,0.01466395743
0.0024,-0.0217361504,3.110095033E-4,-0.0214251409,-3.180657785E-4,0.01466412497
0.00245,-0.02174211001,3.170960313E-4,-0.02142501398,-3.199523787E-4,0.01466428498
0.0025,-0.02174776393,3.228694075E-4,-0.02142489452,-3.215233092E-4,0.01466443732
0.00255,-0.02175310656,3.283239058E-4,-0.02142478266,-3.22776367E-4,0.01466458182
0.0026,-0.02175813199,3.334534951E-4,-0.02142467849,-3.237104137E-4,0.01466471833
0.00265,-0.02176283593,3.382538107E-4,-0.02142458212,-3.243251677E-4,0.01466484674
0.0027,-0.02176721439,3.427207586E-4,-0.02142449363,-3.246199767E-4,0.01466496692
0.00275,-0.02177126242,3.468492904E-4,-0.02142441313,-3.245939388E-4,0.01466507876
0.0028,-0.02177497603,3.506353461E-4,-0.02142434068,-3.242477861E-4,0.01466518213
0.00285,-0.02177835148,3.540751217E-4,-0.02142427635,-3.235817266E-4,0.01466527693
0.0029,-0.02178138549,3.571652565E-4,-0.02142422023,-3.225957524E-4,0.01466536307
0.00295,-0.02178407506,3.599027155E-4,-0.02142417235,-3.212915737E-4,0.01466544047
0.003,-0.02178641749,3.622847315E-4,-0.02142413276,-3.196703632E-4,0.01466550905
0.00305,-0.02178841051,3.643089952E-4,-0.02142410152,-3.177330677E-4,0.01466556874
0.0031,-0.02179005216,3.659735315E-4,-0.02142407863,-3.154823464E-4,0.01466561948
0.00315,-0.02179134077,3.672766353E-4,-0.02142406413,-3.129203128E-4,0.01466566122
0.0032,-0.02179227511,3.682170654E-4,-0.02142405805,-3.10048847E-4,0.01466569393
0.00325,-0.02179285428,3.687939191E-4,-0.02142406037,-3.068715344E-4,0.01466571756
0.0033,-0.02179307765,3.690065675E-4,-0.02142407109,-3.03391406E-4,0.0146657321
0.00335,-0.02179294506,3.688548484E-4,-0.02142409021,-2.996112501E-4,0.01466573753
0.0034,-0.02179245665,3.683389395E-4,-0.02142411771,-2.955355517E-4,0.01466573385
0.00345,-0.02179161285,3.674592928E-4,-0.02142415356,-2.911682304E-4,0.01466572106
0.0035,-0.02179041456,3.662168265E-4,-0.02142419773,-2.865129518E-4,0.01466569917
0.00355,-0.02178886296,3.646127971E-4,-0.02142425017,-2.815750666E-4,0.0146656682
0.0036,-0.02178695955,3.626487327E-4,-0.02142431082,-2.76359347E-4,0.01466562819
0.00365,-0.02178470626,3.603266239E-4,-0.02142437964,-2.708702972E-4,0.01466557917
0.0037,-0.02178210534,3.576487946E-4,-0.02142445655,-2.651140929E-4,0.0146655212
0.00375,-0.0217791593,3.546178345E-4,-0.02142454147,-2.590963152E-4,0.01466545433
0.0038,-0.02177587112,3.51236789E-4,-0.02142463433,-2.528222611E-4,0.01466537863
0.00385,-0.02177224405,3.475090286E-4,-0.02142473502,-2.462988827E-4,0.01466529417
