"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0,0.0,1.005288084,3.309533768E-8
5.0E-5,0.0,1.005288071,3.263598089E-8
1.0E-4,0.0,1.005288058,3.258289716E-8
1.5E-4,0.0,1.005288045,3.293627818E-8
2.0E-4,0.0,1.005288031,3.369583218E-8
2.5E-4,0.0,1.005288018,3.486117125E-8
3.0E-4,0.0,1.005288005,3.643142209E-8
3.5E-4,0.0,1.005287992,3.840561053E-8
4.0E-4,0.0,1.005287978,4.078227525E-8
4.5E-4,0.0,1.005287965,4.355984921E-8
5.0E-4,0.0,1.005287952,4.673627688E-8
5.5E-4,0.0,1.005287939,5.030939218E-8
6.0E-4,0.0,1.005287926,5.427653941E-8
6.5E-4,0.0,1.005287912,5.863494775E-8
7.0E-4,0.0,1.005287899,6.33813563E-8
7.5E-4,0.0,1.005287886,6.851238454E-8
8.0E-4,0.0,1.005287873,7.402416211E-8
8.5E-4,0.0,1.005287859,7.991269497E-8
9.0E-4,0.0,1.005287846,8.617350018E-8
9.5E-4,0.0,1.005287833,9.280196751E-8
0.001,0.0,1.00528782,9.979299969E-8
0.00105,0.0,1.005287807,1.071413691E-7
0.0011,0.0,1.005287793,1.148413638E-7
0.00115,0.0,1.00528778,1.228871394E-7
0.0012,0.0,1.005287767,1.312723705E-7
0.00125,0.0,1.005287754,1.399905981E-7
0.0013,0.0,1.00528774,1.49034887E-7
0.00135,0.0,1.005287727,1.583981672E-7
0.0014,0.0,1.005287714,1.680728992E-7
0.00145,0.0,1.005287701,1.780514084E-7
0.0015,0.0,1.005287688,1.883255581E-7
0.00155,0.0,1.005287674,1.988870774E-7
0.0016,0.0,1.005287661,2.097272422E-7
0.00165,0.0,1.005287648,2.208371963E-7
0.0017,0.0,1.005287635,2.322076398E-7
0.00175,0.0,1.005287621,2.438291443E-7
0.0018,0.0,1.005287608,2.556918487E-7
0.00185,0.0,1.005287595,2.677857679E-7
0.0019,0.0,1.005287582,2.801004971E-7
0.00195,0.0,1.005287569,2.926255121E-7
0.002,0.0,1.005287555,3.05349884E-7
0.00205,0.0,1.005287542,3.182625712E-7
0.0021,0.0,1.005287529,3.313521425E-7
0.00215,0.0,1.005287516,3.446070626E-7
0.0022,0.0,1.005287502,3.580154235E-7
0.00225,0.0,1.005287489,3.715652224E-7
0.0023,0.0,1.005287476,3.85244103E-7
0.00235,0.0,1.005287463,3.990396244E-7
0.0024,0.0,1.00528745,4.129390126E-7
0.00245,0.0,1.005287436,4.269294216E-7
0.0025,0.0,1.005287423,4.409976942E-7
0.00255,0.0,1.00528741,4.551306142E-7
0.0026,0.0,1.005287397,4.693146785E-7
0.00265,0.0,1.005287383,4.8353634E-7
0.0027,0.0,1.00528737,4.977817901E-7
0.00275,0.0,1.005287357,5.120371924E-7
0.0028,0.0,1.005287344,5.262884768E-7
0.00285,0.0,1.005287331,5.405215632E-7
0.0029,0.0,1.005287317,5.547221669E-7
0.00295,0.0,1.005287304,5.68876013E-7
0.003,0.0,1.005287291,5.829686524E-7
0.00305,0.0,1.005287278,5.969856676E-7
0.0031,0.0,1.005287264,6.109124996E-7
0.00315,0.0,1.005287251,6.247346437E-7
0.0032,0.0,1.005287238,6.384374881E-7
0.00325,0.0,1.005287225,6.520065003E-7
0.0033,0.0,1.005287211,6.654270769E-7
0.00335,0.0,1.005287198,6.786847198E-7
0.0034,0.0,1.005287185,6.917648985E-7
0.00345,0.0,1.005287172,7.046532155E-7
0.0035,0.0,1.005287159,7.173352807E-7
0.00355,0.0,1.005287145,7.297968668E-7
0.0036,0.0,1.005287132,7.420237954E-7
0.00365,0.0,1.005287119,7.540020813E-7
0.0037,0.0,1.005287106,7.65717832E-7
0.00375,0.0,1.005287092,7.771573805E-7
0.0038,0.0,1.005287079,7.883071967E-7
0.00385,0.0,1.005287066,7.991540101E-7
0.0039,0.0,1.005287053,8.096847327E-7
0.00395,0.0,1.005287039,8.198865707E-7
0.004,0.0,1.005287026,8.297469598E-7
0.00405,0.0,1.005287013,8.392536654E-7
0.0041,0.0,1.005287,8.4839473E-7
0.00415,0.0,1.005286987,8.571585618E-7
0.0042,0.0,1.005286973,8.655338942E-7
0.00425,0.0,1.00528696,8.735098625E-7
0.0043,0.0,1.005286947,8.810759753E-7
0.00435,0.0,1.005286934,8.882221788E-7
0.0044,0.0,1.00528692,8.949388405E-7
0.00445,0.0,1.005286907,9.012168008E-7
0.0045,0.0,1.005286894,9.070473678E-7
0.00455,0.0,1.005286881,9.124223565E-7
0.0046,0.0,1.005286867,9.173340954E-7
0.00465,0.0,1.005286854,9.217754515E-7
0.0047,0.0,1.005286841,9.257398489E-7
0.00475,0.0,1.005286828,9.292212796E-7
0.0048,0.0,1.005286815,9.322143336E-7
0.00485,0.0,1.005286801,9.347141952E-7
0.0049,0.0,1.005286788,9.367166837E-7
0.00495,0.0,1.005286775,9.38218236E-7
0.005,0.0,1.005286762,9.392159567E-7
0.00505,0.0,1.005286748,9.397075864E-7
0.0051,0.0,1.005286735,9.39691562E-7
0.00515,0.0,1.005286722,9.391669698E-7
0.0052,0.0,1.005286709,9.38133615E-7
0.00525,0.0,1.005286695,9.365919602E-7
0.0053,0.0,1.005286682,9.345432037E-7
0.00535,0.0,1.005286669,9.319892027E-7
0.0054,0.0,1.005286656,9.289325608E-7
0.00545,0.0,1.005286643,9.25376535E-7
0.0055,0.0,1.005286629,9.213251324E-7
0.00555,0.0,1.005286616,9.167830015E-7
0.0056,0.0,1.005286603,9.117555371E-7
0.00565,0.0,1.00528659,9.06248756E-7
0.0057,0.0,1.005286576,9.002694103E-7
0.00575,0.0,1.005286563,8.938248479E-7
0.0058,0.0,1.00528655,8.869231333E-7
0.00585,0.0,1.005286537,8.795728932E-7
0.0059,0.0,1.005286523,8.717834454E-7
0.00595,0.0,1.00528651,8.635646295E-7
0.006,0.0,1.005286497,8.549269442E-7
0.00605,0.0,1.005286484,8.458813624E-7
0.0061,0.0,1.005286471,8.364394784E-7
0.00615,0.0,1.005286457,8.266133079E-7
