"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0,-2.521207711E-4,0.6819107005,0.3173633206,-6.658026073E-5,-1.037784598E-4
5.0E-5,-2.508233993E-4,0.681912179,0.3173640087,-6.540044799E-5,-1.037523123E-4
1.0E-4,-2.492784813E-4,0.6819137415,0.3173647359,-6.415609921E-5,-1.037199406E-4
1.5E-4,-2.47487544E-4,0.6819153864,0.3173655014,-6.284844145E-5,-1.036813768E-4
2.0E-4,-2.454523672E-4,0.6819171121,0.3173663046,-6.147876425E-5,-1.036366591E-4
2.5E-4,-2.431749407E-4,0.6819189169,0.3173671446,-6.004841834E-5,-1.035858313E-4
3.0E-4,-2.40657468E-4,0.6819207991,0.3173680205,-5.855881429E-5,-1.035289424E-4
3.5E-4,-2.37902458E-4,0.6819227568,0.3173689316,-5.701142117E-5,-1.034660491E-4
4.0E-4,-2.349126177E-4,0.681924788,0.317369877,-5.540776505E-5,-1.033972133E-4
4.5E-4,-2.316908491E-4,0.6819268908,0.3173708556,-5.374942754E-5,-1.033225016E-4
5.0E-4,-2.282403509E-4,0.681929063,0.3173718666,-5.20380442E-5,-1.032419883E-4
5.5E-4,-2.245645174E-4,0.6819313025,0.3173729089,-5.027530294E-5,-1.031557525E-4
6.0E-4,-2.206669281E-4,0.6819336072,0.3173739815,-4.846294239E-5,-1.030638782E-4
6.5E-4,-2.165514497E-4,0.6819359748,0.3173750833,-4.660275013E-5,-1.029664565E-4
7.0E-4,-2.12222134E-4,0.6819384028,0.3173762133,-4.469656097E-5,-1.028635832E-4
7.5E-4,-2.076832069E-4,0.681940889,0.3173773704,-4.274625516E-5,-1.027553589E-4
8.0E-4,-2.029391697E-4,0.6819434308,0.3173785534,-4.075375649E-5,-1.026418907E-4
8.5E-4,-1.97994696E-4,0.6819460258,0.3173797611,-3.872103043E-5,-1.025232905E-4
9.0E-4,-1.92854621E-4,0.6819486714,0.3173809924,-3.665008216E-5,-1.023996743E-4
9.5E-4,-1.875240412E-4,0.6819513649,0.317382246,-3.454295465E-5,-1.022711645E-4
0.001,-1.820082113E-4,0.6819541038,0.3173835207,-3.24017266E-5,-1.021378879E-4
0.00105,-1.763125325E-4,0.6819568854,0.3173848152,-3.022851041E-5,-1.01999975E-4
0.0011,-1.704426519E-4,0.6819597068,0.3173861283,-2.802545009E-5,-1.018575624E-4
0.00115,-1.644043591E-4,0.6819625653,0.3173874587,-2.579471914E-5,-1.017107907E-4
0.0012,-1.582035734E-4,0.6819654581,0.317388805,-2.353851845E-5,-1.015598036E-4
0.00125,-1.518464428E-4,0.6819683824,0.3173901659,-2.125907406E-5,-1.01404751E-4
0.0013,-1.453392405E-4,0.6819713351,0.3173915402,-1.895863505E-5,-1.012457857E-4
0.00135,-1.386883512E-4,0.6819743135,0.3173929263,-1.663947123E-5,-1.010830638E-4
0.0014,-1.319003701E-4,0.6819773146,0.317394323,-1.430387098E-5,-1.009167467E-4
0.00145,-1.24981998E-4,0.6819803355,0.3173957289,-1.195413894E-5,-1.007469984E-4
0.0015,-1.179400283E-4,0.681983373,0.3173971426,-9.592593782E-6,-1.005739857E-4
0.00155,-1.107814448E-4,0.6819864243,0.3173985627,-7.221565877E-6,-1.003978801E-4
