"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0,-1.881188599E-4,0.6819523351,0.3173826975,-3.479078866E-5,-1.022860403E-4
5.0E-5,-1.826230885E-4,0.6819550692,0.3173839699,-3.265319048E-5,-1.021532803E-4
1.0E-4,-1.769468621E-4,0.6819578462,0.3173852623,-3.048337039E-5,-1.020158692E-4
1.5E-4,-1.710958086E-4,0.6819606633,0.3173865735,-2.828346904E-5,-1.018739434E-4
2.0E-4,-1.650756987E-4,0.6819635179,0.317387902,-2.605565682E-5,-1.017276428E-4
2.5E-4,-1.588924338E-4,0.6819664071,0.3173892466,-2.38021317E-5,-1.015771108E-4
3.0E-4,-1.525521446E-4,0.6819693281,0.3173906061,-2.152511712E-5,-1.014224966E-4
3.5E-4,-1.460610875E-4,0.6819722778,0.3173919789,-1.922685972E-5,-1.012639529E-4
4.0E-4,-1.394256311E-4,0.6819752536,0.3173933638,-1.690962717E-5,-1.01101635E-4
4.5E-4,-1.326523553E-4,0.6819782523,0.3173947594,-1.457570593E-5,-1.009357041E-4
5.0E-4,-1.257479464E-4,0.6819812711,0.3173961644,-1.222739898E-5,-1.007663239E-4
5.5E-4,-1.187191838E-4,0.681984307,0.3173975773,-9.86702358E-6,-1.005936607E-4
6.0E-4,-1.115730382E-4,0.681987357,0.3173989968,-7.496908938E-6,-1.004178857E-4
6.5E-4,-1.043165667E-4,0.681990418,0.3174004214,-5.119393953E-6,-1.002391725E-4
7.0E-4,-9.695689901E-5,0.6819934871,0.3174018498,-2.736824884E-6,-1.000576967E-4
7.5E-4,-8.9501335E-5,0.6819965612,0.3174032805,-3.515530453E-7,-9.987363835E-5
8.0E-4,-8.195723983E-5,0.6819996373,0.3174047121,2.03406752E-6,-9.96871792E-5
8.5E-4,-7.433202963E-5,0.6820027124,0.3174061432,4.417682365E-6,-9.949850256E-5
9.0E-4,-6.663326898E-5,0.6820057833,0.3174075725,6.796938944E-6,-9.93077956E-5
9.5E-4,-5.886856551E-5,0.6820088472,0.3174089984,9.16948897E-6,-9.911524679E-5
0.001,-5.104555551E-5,0.6820119009,0.3174104196,1.153299069E-5,-9.892104546E-5
0.00105,-4.317200106E-5,0.6820149415,0.3174118347,1.388511125E-5,-9.872538432E-5
0.0011,-3.525568453E-5,0.6820179659,0.3174132422,1.622352895E-5,-9.852845675E-5
0.00115,-2.730439396E-5,0.6820209711,0.3174146409,1.854593555E-5,-9.833045648E-5
