"Time","Subsystem #1|CTLs|Vars|IsqA8","Subsystem #1|CTLs|Vars|Isqerr8","Subsystem #1|CTLs|Vars|Isqrefongrid8","Subsystem #1|CTLs|Vars|Qerr8","Subsystem #1|CTLs|Vars|uqA8"
0.0,-0.0214637425,3.23667251E-5,-0.02143137578,-1.425336478E-4,0.01465700945
5.0E-5,-0.02147500913,4.389739368E-5,-0.02143111173,-1.516246258E-4,0.01465729867
1.0E-4,-0.02148623412,5.538493571E-5,-0.02143084918,-1.605656458E-4,0.0146575871
1.5E-4,-0.0214974064,6.68180268E-5,-0.02143058837,-1.693486251E-4,0.01465787446
2.0E-4,-0.02150851486,7.818531047E-5,-0.02143032955,-1.779647881E-4,0.01465816045
2.5E-4,-0.0215195486,8.947560005E-5,-0.021430073,-1.86404984E-4,0.01465844481
3.0E-4,-0.02153049672,1.00677764E-4,-0.02142981895,-1.946616234E-4,0.01465872724
3.5E-4,-0.02154134833,1.117806717E-4,-0.02142956766,-2.027264484E-4,0.01465900747
4.0E-4,-0.02155209278,1.22773396E-4,-0.02142931938,-2.105908508E-4,0.01465928522
4.5E-4,-0.02156271945,1.336450974E-4,-0.02142907435,-2.182478084E-4,0.01465956021
5.0E-4,-0.02157321779,1.443849701E-4,-0.02142883282,-2.256896539E-4,0.01465983219
5.5E-4,-0.02158357747,1.549824438E-4,-0.02142859502,-2.329083923E-4,0.01466010086
6.0E-4,-0.02159378826,1.65427068E-4,-0.02142836119,-2.398976379E-4,0.01466036599
6.5E-4,-0.02160384001,1.757084577E-4,-0.02142813155,-2.466503813E-4,0.01466062728
7.0E-4,-0.02161372285,1.85816494E-4,-0.02142790635,-2.531593064E-4,0.0146608845
7.5E-4,-0.02162342701,1.957412091E-4,-0.0214276858,-2.594187276E-4,0.01466113739
8.0E-4,-0.02163294283,2.054727304E-4,-0.0214274701,-2.65422355E-4,0.01466138569
8.5E-4,-0.02164226098,2.150014817E-4,-0.0214272595,-2.711636107E-4,0.01466162917
9.0E-4,-0.02165137224,2.243180665E-4,-0.02142705417,-2.766375669E-4,0.01466186758
9.5E-4,-0.02166026755,2.334132125E-4,-0.02142685433,-2.818387082E-4,0.01466210068
0.001,-0.02166893817,2.422779719E-4,-0.0214266602,-2.867612482E-4,0.01466232824
0.00105,-0.02167737553,2.509036038E-4,-0.02142647193,-2.914010673E-4,0.01466255005
0.0011,-0.02168557124,2.592815185E-4,-0.02142628973,-2.95753473E-4,0.01466276587
0.00115,-0.02169351725,2.674034765E-4,-0.02142611378,-2.998135165E-4,0.0146629755
0.0012,-0.02170120572,2.752614712E-4,-0.02142594424,-3.035779299E-4,0.01466317874
0.00125,-0.02170862896,2.828476713E-4,-0.02142578129,-3.07042885E-4,0.01466337537
0.0013,-0.02171577972,2.9015462E-4,-0.0214256251,-3.102043086E-4,0.01466356521
0.00135,-0.02172265092,2.971751163E-4,-0.02142547581,-3.130598208E-4,0.01466374806
0.0014,-0.02172923571,3.03902157E-4,-0.02142533356,-3.156064908E-4,0.01466392375
0.00145,-0.02173552764,3.103291348E-4,-0.02142519851,-3.178411521E-4,0.0146640921
0.0015,-0.0217415205,3.16449719E-4,-0.02142507078,-3.197623407E-4,0.01466425295
0.00155,-0.02174720829,3.222577962E-4,-0.02142495049,-3.213680487E-4,0.01466440614
0.0016,-0.02175258546,3.277476683E-4,-0.02142483779,-3.226560388E-4,0.01466455151
0.00165,-0.02175764669,3.329139315E-4,-0.02142473276,-3.23625783E-4,0.01466468892
0.0017,-0.02176238693,3.377514163E-4,-0.02142463551,-3.242762134E-4,0.01466481824
0.00175,-0.02176680148,3.422553227E-4,-0.02142454616,-3.246060363E-4,0.01466493934
0.0018,-0.02177088534,3.464205596E-4,-0.02142446478,-3.246150259E-4,0.01466505208
0.00185,-0.02177463516,3.502437168E-4,-0.02142439145,-3.243038154E-4,0.01466515637
0.0019,-0.02177804789,3.537216674E-4,-0.02142432623,-3.236726674E-4,0.01466525212
0.00195,-0.02178111955,3.568503413E-4,-0.0214242692,-3.227215952E-4,0.01466533921
0.002,-0.02178384708,3.596266676E-4,-0.02142422042,-3.214522457E-4,0.01466541758
0.00205,-0.02178622776,3.620478413E-4,-0.02142417991,-3.198657396E-4,0.01466548713
0.0021,-0.02178825926,3.641115097E-4,-0.02142414776,-3.179629784E-4,0.0146655478
0.00215,-0.0217899396,3.658156534E-4,-0.02142412395,-3.157465795E-4,0.01466559953
0.0022,-0.02179126706,3.671585274E-4,-0.02142410853,-3.132186172E-4,0.01466564226
0.00225,-0.02179224037,3.681388507E-4,-0.02142410152,-3.103809346E-4,0.01466567596
0.0023,-0.0217928586,3.68755681E-4,-0.02142410292,-3.072370817E-4,0.01466570059
0.00235,-0.02179312106,3.690083496E-4,-0.02142411271,-3.03790055E-4,0.01466571613
0.0024,-0.02179302758,3.688966546E-4,-0.02142413092,-3.000426094E-4,0.01466572256
0.00245,-0.02179257823,3.68420734E-4,-0.0214241575,-2.95999197E-4,0.01466571988
0.0025,-0.02179177343,3.675810002E-4,-0.02142419243,-2.916637051E-4,0.01466570809
0.00255,-0.02179061402,3.66378332E-4,-0.02142423569,-2.870397676E-4,0.01466568719
0.0026,-0.02178910117,3.648139465E-4,-0.02142428722,-2.821327042E-4,0.01466565722
0.00265,-0.0217872363,3.628893324E-4,-0.02142434697,-2.769472565E-4,0.01466561821
0.0027,-0.02178502134,3.606064415E-4,-0.0214244149,-2.714878987E-4,0.01466557018
0.00275,-0.02178245848,3.579675589E-4,-0.02142449092,-2.657607771E-4,0.01466551319
0.0028,-0.0217795502,3.549752357E-4,-0.02142457497,-2.597714441E-4,0.01466544729
0.00285,-0.02177629944,3.516324792E-4,-0.02142466696,-2.535251684E-4,0.01466537255
0.0029,-0.02177270942,3.479426221E-4,-0.0214247668,-2.47028875E-4,0.01466528905
0.00295,-0.02176878364,3.439092542E-4,-0.02142487438,-2.402888763E-4,0.01466519687
0.003,-0.02176452604,3.395364115E-4,-0.02142498963,-2.333111831E-4,0.01466509609
0.00305,-0.02175994084,3.348284447E-4,-0.02142511239,-2.261034434E-4,0.01466498682
0.0031,-0.02175503251,3.297899494E-4,-0.02142524256,-2.18672673E-4,0.01466486916
0.00315,-0.02174980598,3.244259544E-4,-0.02142538003,-2.110255651E-4,0.01466474324
0.0032,-0.02174426642,3.187417893E-4,-0.02142552463,-2.031704296E-4,0.01466460918
0.00325,-0.02173841925,3.127430136E-4,-0.02142567624,-1.951149218E-4,0.0146644671
0.0033,-0.02173227031,3.064356044E-4,-0.0214258347,-1.86866352E-4,0.01466431716
0.00335,-0.02172582568,2.998258224E-4,-0.02142599986,-1.784336244E-4,0.01466415949
0.0034,-0.02171909168,2.929201409E-4,-0.02142617154,-1.698249648E-4,0.01466399426
0.00345,-0.02171207503,2.857254317E-4,-0.0214263496,-1.610482297E-4,0.01466382162
0.0035,-0.02170478267,2.782488311E-4,-0.02142653384,-1.521128448E-4,0.01466364176
0.00355,-0.02169722175,2.704976673E-4,-0.02142672408,-1.430275323E-4,0.01466345484
0.0036,-0.0216893998,2.62479646E-4,-0.02142692015,-1.338006186E-4,0.01466326105
0.00365,-0.02168132455,2.542027151E-4,-0.02142712184,-1.244419742E-4,0.01466306058
