"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0,1.945693805E-4,0.6818674795,0.3173432054,6.938087375E-5,-9.166343708E-5
5.0E-5,2.015673057E-4,0.6818691767,0.3173439953,7.066230988E-5,-9.148353724E-5
1.0E-4,2.083663554E-4,0.6818707848,0.3173447437,7.187407203E-5,-9.130843682E-5
1.5E-4,2.149598224E-4,0.6818723024,0.31734545,7.301496541E-5,-9.113830857E-5
2.0E-4,2.213412029E-4,0.6818737278,0.3173461134,7.408386514E-5,-9.097332029E-5
2.5E-4,2.275042026E-4,0.6818750597,0.3173467333,7.507971737E-5,-9.081363473E-5
3.0E-4,2.334427433E-4,0.6818762968,0.317347309,7.600154029E-5,-9.065940937E-5
3.5E-4,2.391509689E-4,0.6818774379,0.3173478401,7.684842512E-5,-9.051079631E-5
4.0E-4,2.446232507E-4,0.6818784818,0.3173483259,7.761953699E-5,-9.036794208E-5
4.5E-4,2.498541934E-4,0.6818794275,0.3173487661,7.831411579E-5,-9.023098754E-5
5.0E-4,2.548386406E-4,0.6818802741,0.3173491601,7.893147687E-5,-9.01000677E-5
5.5E-4,2.59571679E-4,0.6818810207,0.3173495076,7.947101178E-5,-8.997531161E-5
6.0E-4,2.640486444E-4,0.6818816667,0.3173498082,7.99321888E-5,-8.985684222E-5
6.5E-4,2.682651254E-4,0.6818822113,0.3173500616,8.031455352E-5,-8.974477627E-5
7.0E-4,2.722169681E-4,0.681882654,0.3173502677,8.061772927E-5,-8.963922417E-5
7.5E-4,2.759002802E-4,0.6818829944,0.3173504261,8.084141745E-5,-8.954028991E-5
8.0E-4,2.793114348E-4,0.6818832322,0.3173505368,8.098539789E-5,-8.944807089E-5
8.5E-4,2.824470736E-4,0.6818833671,0.3173505996,8.104952902E-5,-8.936265794E-5
9.0E-4,2.85304111E-4,0.681883399,0.3173506144,8.103374803E-5,-8.928413512E-5
9.5E-4,2.878797362E-4,0.6818833278,0.3173505813,8.093807091E-5,-8.921257969E-5
0.001,2.901714167E-4,0.6818831537,0.3173505003,8.076259245E-5,-8.914806203E-5
0.00105,2.921769002E-4,0.6818828768,0.3173503714,8.050748615E-5,-8.909064559E-5
0.0011,2.938942173E-4,0.6818824974,0.3173501948,8.0173004E-5,-8.904038678E-5
0.00115,2.953216828E-4,0.6818820158,0.3173499707,7.975947632E-5,-8.899733494E-5
0.0012,2.96457898E-4,0.6818814326,0.3173496992,7.926731132E-5,-8.896153231E-5
0.00125,2.973017516E-4,0.6818807482,0.3173493807,7.86969948E-5,-8.893301398E-5
0.0013,2.978524209E-4,0.6818799635,0.3173490155,7.80490896E-5,-8.891180782E-5
0.00135,2.981093726E-4,0.6818790791,0.3173486039,7.732423506E-5,-8.88979345E-5
0.0014,2.980723631E-4,0.6818780959,0.3173481463,7.65231464E-5,-8.889140747E-5
0.00145,2.977414391E-4,0.6818770149,0.3173476432,7.564661402E-5,-8.88922329E-5
0.0015,2.97116937E-4,0.6818758372,0.3173470951,7.469550267E-5,-8.890040972E-5
0.00155,2.96199483E-4,0.6818745639,0.3173465025,7.367075065E-5,-8.891592961E-5
0.0016,2.949899921E-4,0.6818731962,0.317345866,7.257336886E-5,-8.893877702E-5
0.00165,2.934896674E-4,0.6818717357,0.3173451863,7.140443979E-5,-8.896892914E-5
0.0017,2.916999987E-4,0.6818701836,0.3173444639,7.016511648E-5,-8.900635599E-5
0.00175,2.89622761E-4,0.6818685414,0.3173436997,6.885662134E-5,-8.90510204E-5
0.0018,2.872600129E-4,0.6818668109,0.3173428943,6.748024499E-5,-8.910287806E-5
0.00185,2.846140943E-4,0.6818649938,0.3173420486,6.603734494E-5,-8.91618776E-5
0.0019,2.816876242E-4,0.6818630917,0.3173411634,6.452934428E-5,-8.922796059E-5
0.00195,2.784834979E-4,0.6818611067,0.3173402395,6.295773025E-5,-8.930106161E-5
0.002,2.750048843E-4,0.6818590406,0.3173392779,6.132405282E-5,-8.938110834E-5
0.00205,2.712552227E-4,0.6818568955,0.3173382796,5.962992309E-5,-8.946802163E-5
