"Time","Subsystem #1|CTLs|Vars|IsqA8","Subsystem #1|CTLs|Vars|Isqerr8","Subsystem #1|CTLs|Vars|Isqrefongrid8","Subsystem #1|CTLs|Vars|Qerr8","Subsystem #1|CTLs|Vars|uqA8"
0.0,-0.02177225487,3.475202096E-4,-0.02142473466,-2.463181556E-4,0.01466529497
5.0E-5,-0.02176829342,3.434503546E-4,-0.02142484306,-2.395524912E-4,0.01466520186
1.0E-4,-0.02176400059,3.390414729E-4,-0.02142495912,-2.325498588E-4,0.01466510017
1.5E-4,-0.02175938063,3.342979507E-4,-0.02142508268,-2.253179314E-4,0.01466499
2.0E-4,-0.02175443806,3.292244188E-4,-0.02142521364,-2.178637484E-4,0.01466487146
2.5E-4,-0.02174917782,3.238259406E-4,-0.02142535187,-2.101940263E-4,0.01466474466
3.0E-4,-0.02174360511,3.181078797E-4,-0.02142549723,-2.023170973E-4,0.01466460973
3.5E-4,-0.0217377254,3.120758292E-4,-0.02142564958,-1.942406382E-4,0.01466446681
4.0E-4,-0.02173154456,3.057357988E-4,-0.02142580877,-1.8597198E-4,0.01466431603
4.5E-4,-0.02172506871,2.990940817E-4,-0.02142597463,-1.775200467E-4,0.01466415754
5.0E-4,-0.02171830418,2.921571825E-4,-0.021426147,-1.688930832E-4,0.01466399151
5.5E-4,-0.02171125773,2.849320039E-4,-0.02142632573,-1.600989639E-4,0.0146638181
6.0E-4,-0.02170393633,2.774257121E-4,-0.02142651062,-1.511471318E-4,0.01466363747
6.5E-4,-0.02169634715,2.696456646E-4,-0.02142670149,-1.420463251E-4,0.01466344981
7.0E-4,-0.02168849777,2.615995957E-4,-0.02142689817,-1.328048858E-4,0.01466325529
7.5E-4,-0.02168039593,2.53295481E-4,-0.02142710044,-1.234326985E-4,0.01466305413
8.0E-4,-0.02167204958,2.447414642E-4,-0.02142730812,-1.139389159E-4,0.0146628465
8.5E-4,-0.02166346704,2.359460424E-4,-0.021427521,-1.043322674E-4,0.01466263263
9.0E-4,-0.02165465679,2.269179294E-4,-0.02142773886,-9.462299762E-5,0.01466241271
9.5E-4,-0.02164562747,2.176659823E-4,-0.02142796149,-8.48205915E-5,0.01466218697
0.001,-0.02163638807,2.081993852E-4,-0.02142818869,-7.493408223E-5,0.01466195563
0.00105,-0.02162694771,1.985275126E-4,-0.0214284202,-6.497398997E-5,0.01466171891
0.0011,-0.02161731566,1.886598551E-4,-0.02142865581,-5.495004628E-5,0.01466147706
0.00115,-0.0216075015,1.786062027E-4,-0.02142889529,-4.487150202E-5,0.01466123031
0.0012,-0.02159751491,1.68376507E-4,-0.0214291384,-3.474906582E-5,0.01466097891
0.00125,-0.0215873657,1.57980807E-4,-0.02142938489,-2.459262831E-5,0.01466072309
0.0013,-0.02157706389,1.474293491E-4,-0.02142963455,-1.441156993E-5,0.01466046312
0.00135,-0.02156661901,1.367319085E-4,-0.02142988711,-4.216050895E-6,0.01466019924
0.0014,-0.02155604206,1.258997566E-4,-0.02143014231,5.983211428E-6,0.01465993172
0.00145,-0.02154534414,1.149442398E-4,-0.0214303999,1.61761875E-5,0.01465966084
0.0015,-0.02153453518,1.038755343E-4,-0.02143065965,2.63534222E-5,0.01465938686
0.00155,-0.02152362586,9.270458483E-5,-0.02143092127,3.650415293E-5,0.01465911004
0.0016,-0.02151262688,8.144235315E-5,-0.02143118452,4.661848913E-5,0.01465883066
0.00165,-0.02150154914,7.009999171E-5,-0.02143144915,5.668711082E-5,0.014658549
0.0017,-0.02149040359,5.868871035E-5,-0.02143171488,6.669933506E-5,0.01465826533
0.00175,-0.02147920115,4.721970439E-5,-0.02143198145,7.664539205E-5,0.01465797993
0.0018,-0.02146795295,3.570433254E-5,-0.02143224861,8.651611844E-5,0.01465769308
