"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.0,1.000507728,-0.1199983805,1.000000513
5.0E-5,0.0,1.000507728,-0.1199983705,1.000000513
1.0E-4,0.0,1.000507728,-0.1199983621,1.000000513
1.5E-4,0.0,1.000507728,-0.1199983551,1.000000513
2.0E-4,0.0,1.000507728,-0.1199983497,1.000000513
2.5E-4,0.0,1.000507728,-0.1199983457,1.000000513
3.0E-4,0.0,1.000507728,-0.1199983433,1.000000513
3.5E-4,0.0,1.000507728,-0.1199983424,1.000000513
4.0E-4,0.0,1.000507728,-0.1199983431,1.000000513
4.5E-4,0.0,1.000507727,-0.1199983453,1.000000513
5.0E-4,0.0,1.000507727,-0.1199983492,1.000000513
5.5E-4,0.0,1.000507727,-0.1199983546,1.000000513
6.0E-4,0.0,1.000507727,-0.1199983616,1.000000513
6.5E-4,0.0,1.000507727,-0.1199983703,1.000000513
7.0E-4,0.0,1.000507727,-0.1199983805,1.000000512
7.5E-4,0.0,1.000507727,-0.1199983924,1.000000512
8.0E-4,0.0,1.000507727,-0.1199984059,1.000000512
8.5E-4,0.0,1.000507727,-0.119998421,1.000000512
9.0E-4,0.0,1.000507727,-0.1199984378,1.000000512
9.5E-4,0.0,1.000507727,-0.1199984562,1.000000512
0.001,0.0,1.000507727,-0.1199984762,1.000000512
0.00105,0.0,1.000507727,-0.1199984978,1.000000512
0.0011,0.0,1.000507727,-0.1199985211,1.000000512
0.00115,0.0,1.000507727,-0.1199985459,1.000000512
0.0012,0.0,1.000507727,-0.1199985723,1.000000512
0.00125,0.0,1.000507727,-0.1199986003,1.000000512
0.0013,0.0,1.000507727,-0.1199986298,1.000000512
0.00135,0.0,1.000507727,-0.1199986609,1.000000512
0.0014,0.0,1.000507727,-0.1199986935,1.000000512
0.00145,0.0,1.000507727,-0.1199987276,1.000000512
0.0015,0.0,1.000507727,-0.1199987632,1.000000512
0.00155,0.0,1.000507727,-0.1199988002,1.000000512
0.0016,0.0,1.000507727,-0.1199988386,1.000000512
0.00165,0.0,1.000507727,-0.1199988784,1.000000512
0.0017,0.0,1.000507727,-0.1199989196,1.000000512
0.00175,0.0,1.000507727,-0.119998962,1.000000512
0.0018,0.0,1.000507727,-0.1199990058,1.000000512
0.00185,0.0,1.000507727,-0.1199990507,1.000000512
0.0019,0.0,1.000507727,-0.1199990968,1.000000512
0.00195,0.0,1.000507727,-0.1199991441,1.000000512
0.002,0.0,1.000507727,-0.1199991924,1.000000512
0.00205,0.0,1.000507727,-0.1199992418,1.000000512
0.0021,0.0,1.000507727,-0.1199992922,1.000000512
0.00215,0.0,1.000507727,-0.1199993435,1.000000512
0.0022,0.0,1.000507726,-0.1199993956,1.000000512
0.00225,0.0,1.000507726,-0.1199994486,1.000000512
0.0023,0.0,1.000507726,-0.1199995023,1.000000512
0.00235,0.0,1.000507726,-0.1199995567,1.000000512
0.0024,0.0,1.000507726,-0.1199996118,1.000000512
0.00245,0.0,1.000507726,-0.1199996673,1.000000512
0.0025,0.0,1.000507726,-0.1199997234,1.000000512
0.00255,0.0,1.000507726,-0.1199997799,1.000000512
0.0026,0.0,1.000507726,-0.1199998367,1.000000512
0.00265,0.0,1.000507726,-0.1199998938,1.000000512
0.0027,0.0,1.000507726,-0.1199999511,1.000000512
0.00275,0.0,1.000507726,-0.1200000085,1.000000512
0.0028,0.0,1.000507726,-0.120000066,1.000000512
0.00285,0.0,1.000507726,-0.1200001235,1.000000512
0.0029,0.0,1.000507726,-0.1200001809,1.000000512
0.00295,0.0,1.000507726,-0.1200002381,1.000000512
0.003,0.0,1.000507726,-0.1200002951,1.000000512
0.00305,0.0,1.000507726,-0.1200003517,1.000000512
0.0031,0.0,1.000507726,-0.120000408,1.000000512
0.00315,0.0,1.000507726,-0.1200004638,1.000000512
0.0032,0.0,1.000507726,-0.120000519,1.000000512
0.00325,0.0,1.000507726,-0.1200005737,1.000000512
0.0033,0.0,1.000507726,-0.1200006276,1.000000512
0.00335,0.0,1.000507726,-0.1200006808,1.000000512
0.0034,0.0,1.000507726,-0.1200007332,1.000000512
0.00345,0.0,1.000507726,-0.1200007847,1.000000512
0.0035,0.0,1.000507727,-0.1200008352,1.000000512
0.00355,0.0,1.000507727,-0.1200008847,1.000000512
0.0036,0.0,1.000507727,-0.1200009331,1.000000512
0.00365,0.0,1.000507727,-0.1200009804,1.000000512
0.0037,0.0,1.000507727,-0.1200010265,1.000000512
0.00375,0.0,1.000507727,-0.1200010713,1.000000512
0.0038,0.0,1.000507727,-0.1200011148,1.000000512
0.00385,0.0,1.000507727,-0.120001157,1.000000512
0.0039,0.0,1.000507727,-0.1200011977,1.000000512
0.00395,0.0,1.000507727,-0.120001237,1.000000512
0.004,0.0,1.000507727,-0.1200012748,1.000000512
0.00405,0.0,1.000507727,-0.120001311,1.000000512
0.0041,0.0,1.000507727,-0.1200013457,1.000000512
0.00415,0.0,1.000507727,-0.1200013787,1.000000512
0.0042,0.0,1.000507727,-0.1200014101,1.000000512
0.00425,0.0,1.000507727,-0.1200014399,1.000000512
0.0043,0.0,1.000507727,-0.1200014679,1.000000512
0.00435,0.0,1.000507727,-0.1200014942,1.000000512
0.0044,0.0,1.000507727,-0.1200015187,1.000000512
0.00445,0.0,1.000507727,-0.1200015415,1.000000512
