"Time",Subsystem #1|CTLs|Vars|Tm,"Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.1999399847,1.000224272,7.76093616E-7,0.999717201
5.0E-5,0.1999396389,1.000224272,7.465270416E-7,0.9997172009
1.0E-4,0.1999392931,1.000224272,7.16750968E-7,0.9997172008
1.5E-4,0.1999389473,1.000224272,6.867996351E-7,0.9997172007
2.0E-4,0.1999386015,1.000224272,6.567120817E-7,0.9997172006
2.5E-4,0.1999382558,1.000224272,6.265224238E-7,0.9997172006
3.0E-4,0.1999379101,1.000224272,5.962696454E-7,0.9997172005
3.5E-4,0.1999375645,1.000224272,5.659874629E-7,0.9997172004
4.0E-4,0.1999372188,1.000224271,5.357145304E-7,0.9997172002
4.5E-4,0.1999368733,1.000224271,5.054839014E-7,0.9997172001
5.0E-4,0.1999365277,1.000224271,4.753336394E-7,0.9997172
5.5E-4,0.1999361822,1.000224271,4.452958882E-7,0.9997171999
6.0E-4,0.1999358366,1.000224271,4.154078773E-7,0.9997171998
6.5E-4,0.1999354912,1.000224271,3.85700614E-7,0.9997171996
7.0E-4,0.1999351457,1.000224271,3.562102716E-7,0.9997171995
7.5E-4,0.1999348003,1.000224271,3.269665156E-7,0.9997171994
8.0E-4,0.1999344549,1.00022427,2.980042646E-7,0.9997171992
8.5E-4,0.1999341096,1.00022427,2.693516622E-7,0.999717199
9.0E-4,0.1999337643,1.00022427,2.410421982E-7,0.9997171989
9.5E-4,0.199933419,1.00022427,2.131023399E-7,0.9997171987
0.001,0.1999330737,1.00022427,1.855640008E-7,0.9997171986
0.00105,0.1999327285,1.00022427,1.58451844E-7,0.9997171984
0.0011,0.1999323833,1.000224269,1.317960859E-7,0.9997171982
0.00115,0.1999320382,1.000224269,1.056194846E-7,0.999717198
0.0012,0.199931693,1.000224269,7.995046456E-8,0.9997171978
0.00125,0.1999313479,1.000224269,5.48098042E-8,0.9997171976
0.0013,0.1999310029,1.000224269,3.022406741E-8,0.9997171974
0.00135,0.1999306579,1.000224268,0.0,0.9997171972
0.0014,0.1999303129,1.000224268,-1.720172918E-8,0.999717197
0.00145,0.1999299679,1.000224268,-4.000043577E-8,0.9997171968
0.0015,0.199929623,1.000224268,-6.21613851E-8,0.9997171966
0.00155,0.1999292781,1.000224268,-8.366994076E-8,0.9997171963
0.0016,0.1999289332,1.000224267,-1.045053002E-7,0.9997171961
0.00165,0.1999285884,1.000224267,-1.246548694E-7,0.9997171959
0.0017,0.1999282436,1.000224267,-1.440997571E-7,0.9997171956
0.00175,0.1999278988,1.000224267,-1.628293787E-7,0.9997171954
0.0018,0.1999275541,1.000224266,-1.808267212E-7,0.9997171951
0.00185,0.1999272094,1.000224266,-1.980831614E-7,0.9997171948
0.0019,0.1999268648,1.000224266,-2.145835184E-7,0.9997171946
0.00195,0.1999265201,1.000224266,-2.303210699E-7,0.9997171943
0.002,0.1999261756,1.000224265,-2.452824097E-7,0.999717194
0.00205,0.199925831,1.000224265,-2.594626468E-7,0.9997171937
0.0021,0.1999254865,1.000224265,-2.72850084E-7,0.9997171935
0.00215,0.199925142,1.000224265,-2.854415844E-7,0.9997171932
0.0022,0.1999247976,1.000224264,-2.972270879E-7,0.9997171929
0.00225,0.1999244531,1.000224264,-3.082051295E-7,0.9997171926
0.0023,0.1999241088,1.000224264,-3.183672109E-7,0.9997171922
0.00235,0.1999237644,1.000224263,-3.277134537E-7,0.9997171919
0.0024,0.1999234201,1.000224263,-3.362368436E-7,0.9997171916
0.00245,0.1999230758,1.000224263,-3.439390027E-7,0.9997171913
0.0025,0.1999227316,1.000224262,-3.508143232E-7,0.9997171909
