"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.2527023915,1.000603657,-1.34738832E-8,1.000096438
5.0E-5,0.2526967209,1.000603702,-2.803132673E-8,1.000096483
1.0E-4,0.252691051,1.000603746,-4.292068126E-8,1.000096527
1.5E-4,0.2526853817,1.000603791,-5.628620815E-8,1.000096572
2.0E-4,0.2526797131,1.000603835,-6.997472591E-8,1.000096616
2.5E-4,0.2526740451,1.00060388,-8.211265119E-8,1.000096661
3.0E-4,0.2526683778,1.000603924,-9.456623009E-8,1.000096705
3.5E-4,0.2526627111,1.000603968,-1.054459826E-7,1.000096749
4.0E-4,0.2526570451,1.000604012,-1.166355366E-7,1.000096793
4.5E-4,0.2526513797,1.000604056,-1.262314728E-7,1.000096837
5.0E-4,0.2526457151,1.0006041,-1.361327438E-7,1.00009688
5.5E-4,0.252640051,1.000604144,-1.44423956E-7,1.000096924
6.0E-4,0.2526343877,1.000604188,-1.530173226E-7,1.000096968
6.5E-4,0.252628725,1.000604231,-1.599874459E-7,1.000097011
7.0E-4,0.252623063,1.000604275,-1.672577328E-7,1.000097055
7.5E-4,0.2526174016,1.000604318,-1.728947556E-7,1.000097098
8.0E-4,0.252611741,1.000604362,-1.788310491E-7,1.000097141
8.5E-4,0.252606081,1.000604405,-1.831271301E-7,1.000097184
9.0E-4,0.2526004217,1.000604448,-1.877226008E-7,1.000097227
9.5E-4,0.2525947631,1.000604491,-1.906738961E-7,1.00009727
0.001,0.2525891051,1.000604534,-1.939256332E-7,1.000097313
0.00105,0.2525834479,1.000604577,-1.955321349E-7,1.000097356
0.0011,0.2525777914,1.00060462,-1.974409925E-7,1.000097399
0.00115,0.2525721355,1.000604662,-1.977063807E-7,1.000097441
0.0012,0.2525664803,1.000604705,-1.982768387E-7,1.000097484
0.00125,0.2525608259,1.000604748,-1.972083476E-7,1.000097526
0.0013,0.2525551721,1.00060479,-1.964483858E-7,1.000097568
0.00135,0.2525495191,1.000604832,-1.94056685E-7,1.00009761
0.0014,0.2525438667,1.000604874,-1.919776732E-7,1.000097652
0.00145,0.2525382151,1.000604917,-1.88276763E-7,1.000097694
0.0015,0.2525325642,1.000604959,-1.848933646E-7,1.000097736
0.00155,0.252526914,1.000605,-1.79900486E-7,1.000097778
0.0016,0.2525212645,1.000605042,-1.752305759E-7,1.00009782
0.00165,0.2525156157,1.000605084,-1.689661339E-7,1.000097861
0.0017,0.2525099676,1.000605126,-1.630307292E-7,1.000097903
0.00175,0.2525043203,1.000605167,-1.555182286E-7,1.000097944
0.0018,0.2524986737,1.000605209,-1.483414311E-7,1.000097986
0.00185,0.2524930278,1.00060525,-1.396074234E-7,1.000098027
0.0019,0.2524873827,1.000605291,-1.312163723E-7,1.000098068
0.00195,0.2524817383,1.000605332,-1.212904128E-7,1.000098109
0.002,0.2524760946,1.000605373,-1.117152469E-7,1.00009815
0.00205,0.2524704517,1.000605414,-1.006298596E-7,1.000098191
0.0021,0.2524648095,1.000605455,-8.990368651E-8,1.000098232
0.00215,0.252459168,1.000605496,-7.769433595E-8,1.000098272
0.0022,0.2524535273,1.000605537,-6.585320701E-8,1.000098313
0.00225,0.2524478873,1.000605577,-5.255827491E-8,1.000098354
0.0023,0.2524422481,1.000605618,-3.964116468E-8,1.000098394
0.00235,0.2524366097,1.000605658,-2.530193031E-8,1.000098434
0.0024,0.252430972,1.000605699,-1.135071802E-8,1.000098474
0.00245,0.252425335,1.000605739,0.0,1.000098515
0.0025,0.2524196989,1.000605779,1.892920825E-8,1.000098555
0.00255,0.2524140634,1.000605819,3.522171086E-8,1.000098594
0.0026,0.2524084288,1.000605859,5.110395971E-8,1.000098634
0.00265,0.2524027949,1.000605899,6.829972621E-8,1.000098674
0.0027,0.2523971618,1.000605939,8.507319335E-8,1.000098714
0.00275,0.2523915294,1.000605978,1.03119545E-7,1.000098753
0.0028,0.2523858979,1.000606018,1.207309253E-7,1.000098793
0.00285,0.2523802671,1.000606057,1.395723931E-7,1.000098832
0.0029,0.2523746371,1.000606097,1.579655893E-7,1.000098871
0.00295,0.2523690078,1.000606136,1.77543948E-7,1.00009891
0.003,0.2523633794,1.000606175,1.966601084E-7,1.000098949
0.00305,0.2523577517,1.000606214,2.169144181E-7,1.000098988
0.0031,0.2523521249,1.000606253,2.366919823E-7,1.000099027
0.00315,0.2523464988,1.000606292,2.575586389E-7,1.000099066
0.0032,0.2523408735,1.000606331,2.779333939E-7,1.000099105
0.00325,0.252335249,1.00060637,2.993461908E-7,1.000099143
0.0033,0.2523296253,1.000606408,3.202513372E-7,1.000099182
0.00335,0.2523240025,1.000606447,3.421415376E-7,1.00009922
0.0034,0.2523183804,1.000606485,3.635077692E-7,1.000099259
0.00345,0.2523127591,1.000606523,3.858041918E-7,1.000099297
0.0035,0.2523071386,1.000606562,4.075597878E-7,1.000099335
0.00355,0.252301519,1.0006066,4.30188907E-7,1.000099373
0.0036,0.2522959001,1.000606638,4.522598399E-7,1.000099411
0.00365,0.2522902821,1.000606676,4.751459009E-7,1.000099449
0.0037,0.2522846649,1.000606714,4.974559595E-7,1.000099486
0.00375,0.2522790485,1.000606751,5.205211096E-7,1.000099524
0.0038,0.252273433,1.000606789,5.429920399E-7,1.000099562
0.00385,0.2522678182,1.000606827,5.661564785E-7,1.000099599
0.0039,0.2522622043,1.000606864,5.887081415E-7,1.000099637
0.00395,0.2522565912,1.000606902,6.118902877E-7,1.000099674
0.004,0.252250979,1.000606939,6.344408383E-7,1.000099711
0.00405,0.2522453676,1.000606976,6.575575189E-7,1.000099748
0.0041,0.252239757,1.000607013,6.800236031E-7,1.000099785
0.00415,0.2522341473,1.00060705,7.029902613E-7,1.000099822
0.0042,0.2522285384,1.000607087,7.252872358E-7,1.000099859
0.00425,0.2522229303,1.000607124,7.48018161E-7,1.000099896
0.0043,0.2522173231,1.000607161,7.700603351E-7,1.000099932
0.00435,0.2522117168,1.000607197,7.924689163E-7,1.000099969
0.0044,0.2522061113,1.000607234,8.141698152E-7,1.000100005
0.00445,0.2522005066,1.00060727,8.361688169E-7,1.000100041
0.0045,0.2521949028,1.000607307,8.574414705E-7,1.000100078
