"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0,0.58575239,0.9899900569,0.6141484912
5.0E-5,0.5857470894,0.9899896087,0.6141486948
1.0E-4,0.5857418042,0.9899891603,0.6141488958
1.5E-4,0.5857365344,0.9899887119,0.6141490943
2.0E-4,0.5857312799,0.9899882634,0.6141492901
2.5E-4,0.5857260409,0.9899878148,0.6141494834
3.0E-4,0.5857208172,0.9899873661,0.6141496739
3.5E-4,0.5857156089,0.9899869173,0.6141498618
4.0E-4,0.5857104159,0.9899864684,0.6141500469
4.5E-4,0.5857052383,0.9899860195,0.6141502294
5.0E-4,0.5857000761,0.9899855704,0.6141504091
5.5E-4,0.5856949293,0.9899851213,0.6141505861
6.0E-4,0.5856897978,0.9899846721,0.6141507605
6.5E-4,0.5856846816,0.9899842227,0.6141509321
7.0E-4,0.5856795808,0.9899837733,0.614151101
7.5E-4,0.5856744954,0.9899833239,0.6141512673
8.0E-4,0.5856694252,0.9899828743,0.6141514309
8.5E-4,0.5856643705,0.9899824246,0.6141515919
9.0E-4,0.585659331,0.9899819749,0.6141517503
9.5E-4,0.5856543069,0.989981525,0.6141519062
0.001,0.5856492981,0.9899810751,0.6141520596
0.00105,0.5856443046,0.9899806251,0.6141522105
0.0011,0.5856393265,0.989980175,0.614152359
0.00115,0.5856343637,0.9899797249,0.6141525051
0.0012,0.5856294161,0.9899792746,0.614152649
0.00125,0.5856244839,0.9899788243,0.6141527906
0.0013,0.585619567,0.9899783739,0.61415293
0.00135,0.5856146654,0.9899779233,0.6141530673
0.0014,0.5856097791,0.9899774728,0.6141532026
0.00145,0.5856049081,0.9899770221,0.614153336
0.0015,0.5856000524,0.9899765713,0.6141534674
0.00155,0.5855952119,0.9899761205,0.6141535971
0.0016,0.5855903868,0.9899756696,0.614153725
0.00165,0.5855855769,0.9899752186,0.6141538513
0.0017,0.5855807823,0.9899747675,0.614153976
0.00175,0.585576003,0.9899743164,0.6141540993
0.0018,0.5855712389,0.9899738651,0.6141542212
0.00185,0.5855664901,0.9899734138,0.6141543417
0.0019,0.5855617566,0.9899729624,0.6141544611
0.00195,0.5855570383,0.9899725109,0.6141545794
0.002,0.5855523353,0.9899720594,0.6141546966
0.00205,0.5855476475,0.9899716077,0.6141548129
0.0021,0.585542975,0.989971156,0.6141549284
0.00215,0.5855383177,0.9899707042,0.6141550431
0.0022,0.5855336757,0.9899702523,0.6141551572
0.00225,0.5855290489,0.9899698004,0.6141552707
0.0023,0.5855244373,0.9899693484,0.6141553837
0.00235,0.5855198409,0.9899688962,0.6141554963
0.0024,0.5855152598,0.9899684441,0.6141556086
0.00245,0.5855106939,0.9899679918,0.6141557207
0.0025,0.5855061432,0.9899675395,0.6141558327
0.00255,0.5855016077,0.989967087,0.6141559446
0.0026,0.5854970874,0.9899666346,0.6141560565
0.00265,0.5854925824,0.989966182,0.6141561686
0.0027,0.5854880925,0.9899657293,0.6141562808
0.00275,0.5854836178,0.9899652766,0.6141563933
0.0028,0.5854791583,0.9899648238,0.6141565062
0.00285,0.5854747141,0.989964371,0.6141566195
0.0029,0.5854702849,0.989963918,0.6141567332
0.00295,0.585465871,0.989963465,0.6141568476
0.003,0.5854614723,0.9899630119,0.6141569625
0.00305,0.5854570887,0.9899625587,0.6141570781
0.0031,0.5854527203,0.9899621055,0.6141571945
0.00315,0.5854483671,0.9899616522,0.6141573117
0.0032,0.585444029,0.9899611988,0.6141574298
0.00325,0.5854397061,0.9899607453,0.6141575488
0.0033,0.5854353983,0.9899602918,0.6141576688
0.00335,0.5854311057,0.9899598382,0.6141577898
0.0034,0.5854268283,0.9899593845,0.6141579119
0.00345,0.5854225659,0.9899589308,0.6141580352
0.0035,0.5854183188,0.9899584769,0.6141581596
0.00355,0.5854140867,0.989958023,0.6141582853
0.0036,0.5854098698,0.9899575691,0.6141584122
0.00365,0.585405668,0.989957115,0.6141585404
0.0037,0.5854014814,0.9899566609,0.61415867
0.00375,0.5853973098,0.9899562067,0.614158801
0.0038,0.5853931534,0.9899557525,0.6141589334
0.00385,0.5853890121,0.9899552982,0.6141590673
0.0039,0.5853848859,0.9899548438,0.6141592026
0.00395,0.5853807748,0.9899543893,0.6141593394
0.004,0.5853766788,0.9899539348,0.6141594778
0.00405,0.5853725979,0.9899534802,0.6141596178
0.0041,0.5853685321,0.9899530255,0.6141597593
0.00415,0.5853644814,0.9899525708,0.6141599025
0.0042,0.5853604457,0.989952116,0.6141600473
0.00425,0.5853564252,0.9899516611,0.6141601938
0.0043,0.5853524197,0.9899512061,0.6141603419
0.00435,0.5853484293,0.9899507511,0.6141604918
0.0044,0.585344454,0.9899502961,0.6141606434
0.00445,0.5853404937,0.9899498409,0.6141607966
0.0045,0.5853365485,0.9899493857,0.6141609517
0.00455,0.5853326183,0.9899489304,0.6141611085
0.0046,0.5853287032,0.9899484751,0.6141612671
0.00465,0.5853248032,0.9899480196,0.6141614274
0.0047,0.5853209182,0.9899475642,0.6141615895
0.00475,0.5853170482,0.9899471086,0.6141617535
0.0048,0.5853131933,0.989946653,0.6141619192
0.00485,0.5853093534,0.9899461973,0.6141620868
0.0049,0.5853055285,0.9899457416,0.6141622562
0.00495,0.5853017187,0.9899452857,0.6141624274
0.005,0.5852979238,0.9899448299,0.6141626005
0.00505,0.585294144,0.9899443739,0.6141627753
0.0051,0.5852903793,0.9899439179,0.6141629521
0.00515,0.5852866295,0.9899434618,0.6141631306
0.0052,0.5852828947,0.9899430057,0.6141633111
0.00525,0.5852791749,0.9899425495,0.6141634933
0.0053,0.5852754701,0.9899420932,0.6141636774
0.00535,0.5852717804,0.9899416369,0.6141638634
0.0054,0.5852681056,0.9899411805,0.6141640512
0.00545,0.5852644457,0.9899407241,0.6141642408
0.0055,0.5852608009,0.9899402676,0.6141644323
